[02/07/2023, 03:56:03 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/34.a7ecbed8.chunk.worker.js","referrer":"https://app.notesnook.com/static/workers/nncrypto.worker.js","headers":{"User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/","referrer":"https://app.notesnook.com/login","headers":{"Upgrade-Insecure-Requests":"1","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","Accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/main.0b90011c.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/3814.6012ca77.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/9289.ba956424.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/4185.ea60f1ec.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/3345.42c45360.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/3298.5c2b58e1.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/6969.2b31e6fd.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:06 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/7860.7d7bc99c.chunk.js","referrer":"https://app.notesnook.com/","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
